time_s,current_A
94587,3.1939115646065512
94588,3.096192325376171
94589,3.0796893301918957
94590,3.0983244615099315
94591,3.0931628455318037
94592,3.110459823356436
94593,3.097396764192032
94594,3.087623334303446
94595,3.1030636599124106
94596,3.0865346317969755
94597,3.08283182696949
94598,2.983913580190607
94599,2.908317083791263
94600,2.9106171141333945
94601,2.915804558531449
94602,3.0577186296275904
94603,3.191837889837506
94604,3.1074493738577145
94605,3.077571426382009
94606,3.072720089257756
94607,3.073253708819991
94608,3.057820788301025
94609,3.0621393064247187
94610,3.055611259980748
94611,3.053423441997317
94612,3.0650192960820988
94613,3.0580562662628155
94614,2.967948026139895
94615,2.935177122235449
94616,2.936068943243411
94617,2.926220184040742
94618,3.057553037662812
94619,3.2030141173375104
94620,3.1026460857992495
94621,3.101932486656772
94622,3.085172524774773
94623,3.1056668185178316
94624,3.1063610103979857
94625,3.087241467552329
94626,3.089342847508178
94627,3.085368825240194
94628,3.0858382738225587
94629,3.112439620695607
94630,2.981300220703154
94631,2.9054992548515526
94632,2.9061620960671166
94633,2.903735007592779
94634,3.0280582764436494
94635,3.156275666535661
94636,3.0596594512493094
94637,3.0495988376159904
94638,3.066688590707513
94639,3.066539282411949
94640,3.0680927171899217
94641,3.0644667256812825
94642,3.061480327345183
94643,3.0667075517083027
94644,3.0610831969607295
94645,3.0693648020473705
94646,2.9910959191260873
94647,2.9302217155698984
94648,2.9305968003820375
94649,2.9343451635965017
94650,3.0246999140899966
94651,3.215649156932827
94652,3.110643892484263
94653,3.079692032127036
94654,3.0856285702687023
94655,2.1370540392605677
94656,0.9552369899898752
94657,0.9500177811470532
94658,0.9297868298743452
94659,0.9300852023141699
94660,0.9421938519813767
94661,0.9260932276514079
94662,0.8476868931686357
94663,0.7575945468006822
94664,0.7567730163336148
94665,0.7561212376193007
94666,0.827499324229464
94667,1.0412216736583524
94668,0.9241622093728695
94669,0.9007412560528765
94670,0.9063762825232412
94671,0.9060420584883178
94672,0.95271640067944
94673,0.8972203318006676
94674,0.8320377916569794
94675,0.8495741599177397
94676,0.8336527683869528
94677,0.8270316587797162
94678,0.7739943475974647
94679,0.6872037345663994
94680,0.683539078145314
94681,0.6871196488555693
94682,0.7511395415101372
94683,0.9868738760078429
94684,0.8872084935897531
94685,0.8473846229833862
94686,0.858900768489893
94687,0.8455297413668635
94688,0.8492726250650642
94689,0.8577892897741467
94690,0.8743535860327055
94691,0.873932950238692
94692,0.861401693163035
94693,0.8523487450136844
94694,0.7681626456455106
94695,0.6906864652032495
94696,0.6868840599703109
94697,0.7021667688578457
94698,0.7862216685585914
94699,0.9667452315863067
94700,0.8548207837768581
94701,0.8229943969947798
94702,0.8379427056710733
94703,0.8270008181657603
94704,0.8535409600314476
94705,0.8540094196818725
94706,0.8293022569513762
94707,0.857435942899915
94708,0.8570637294986548
94709,0.8515096609996696
94710,0.7885182311816403
94711,0.6874476983775437
94712,0.6857469318078823
94713,0.6914598105960211
94714,0.7522873860816752
94715,0.9857809485266147
94716,0.8961057632360072
94717,0.8494084088415301
94718,0.8611602252842933
94719,0.8494681740620477
94720,0.8637773550270147
94721,0.8668877554723214
94722,0.8474701643528884
94723,0.8455808383802778
94724,0.8544172799942865
94725,0.890025612167439
94726,0.8438486214840416
94727,0.6845139535958067
94728,0.6919650247208908
94729,0.6890623909696472
94730,0.7359354194911503
94731,0.9716862232650751
94732,0.8738367945267858
94733,0.8288843155258283
94734,0.8391847910410655
94735,0.8450231853274207
94736,0.8424544700693714
94737,0.8424642842436499
94738,0.8423037532221369
94739,0.8431425349768044
94740,0.842725969744782
94741,0.8503256872297937
94742,0.8105532718246204
94743,0.6898735525107454
94744,0.6897804045758777
94745,0.6877524159633343
94746,0.7364217136326886
94747,0.9737501069504265
94748,0.9021794964145033
94749,0.867811746220476
94750,0.8610098389273647
94751,0.8674928078273728
94752,0.8675333713725044
94753,0.8550200699888365
94754,0.8787816048220233
94755,0.866065394339578
94756,0.8516271294457983
94757,0.8621657225555838
94758,0.8212957094551521
94759,0.6899801369396261
94760,0.6891471475846461
94761,0.6888139321921033
94762,0.7224850043585153
94763,0.9752203476228294
94764,0.8881881866024551
94765,0.8531853609768326
94766,0.8481607831484316
94767,0.8557578225600349
94768,0.8444395817590101
94769,0.8345091141234474
94770,0.8308222205604632
94771,0.8431076809342876
94772,0.8352142761980068
94773,0.829805166392188
94774,0.8081428183958822
94775,0.6901240954638977
94776,0.6890484256164665
94777,0.7020419659045168
94778,0.7031310839272661
94779,0.9632518026933757
94780,0.9144392995046315
94781,0.885167079408524
94782,0.8786715718667374
94783,0.8678391435416788
94784,0.8570075369015518
94785,0.848344807419901
94786,0.864617187808718
94787,0.8700490098262184
94788,0.8733125929010157
94789,0.8733231409016573
94790,0.8668275052434473
94791,0.6870041157768396
94792,0.6880929498950582
94793,0.6870171432147645
94794,0.7151690666756588
94795,0.9417228596643442
94796,0.8907421987389348
94797,0.8571339093616787
94798,0.8397964743717956
94799,0.8289654798373006
94800,0.8560794361083663
94801,0.8419941906271443
